,id_org,title_org,sequel_org,id_seq,title_seq,sequel_seq
38,64688,21 Jump Street,187017,187017,22 Jump Street,
71,10072,A Nightmare on Elm Street 3: Dream Warriors,10131,10131,A Nightmare on Elm Street 4: The Dream Master,
51,3049,Ace Ventura: Pet Detective,9273,9273,Ace Ventura: When Nature Calls,
52,348,Alien,679,679,Aliens,
29,6477,Alvin and the Chipmunks,23398,23398,Alvin and the Chipmunks: The Squeakquel,
36,2105,American Pie,2770,2770,American Pie 2,
59,8699,Anchorman: The Legend of Ron Burgundy,109443,109443,Anchorman 2: The Legend Continues,
65,816,Austin Powers: International Man of Mystery,817,817,Austin Powers: The Spy Who Shagged Me,818
32,817,Austin Powers: The Spy Who Shagged Me,818,818,Austin Powers in Goldmember,
42,9737,Bad Boys,8961,8961,Bad Boys II,
26,272,Batman Begins,155,155,The Dark Knight,
35,364,Batman Returns,414,414,Batman Forever,
85,76,Before Sunrise,80,80,Before Sunset,132344
81,80,Before Sunset,132344,132344,Before Midnight,
46,36647,Blade,36586,36586,Blade II,
27,1771,Captain America: The First Avenger,100402,100402,Captain America: The Winter Soldier,271110
6,100402,Captain America: The Winter Soldier,271110,271110,Captain America: Civil War,
13,36557,Casino Royale,10764,10764,Quantum of Solace,37724
86,2292,Clerks,2295,2295,Clerks II,
77,8068,Desperado,1428,1428,Once Upon a Time in Mexico,
16,20352,Despicable Me,93456,93456,Despicable Me 2,
89,16186,Diary of a Mad Black Woman,16781,16781,Madea's Family Reunion,15670
44,562,Die Hard,1573,1573,Die Hard 2,
67,646,Dr. No,657,657,From Russia with Love,658
87,9367,El Mariachi,8068,8068,Desperado,1428
84,765,Evil Dead II,766,766,Army of Darkness,
60,9358,Final Destination 2,9286,9286,Final Destination 3,
47,1368,First Blood,1369,1369,Rambo: First Blood Part II,
76,10634,Friday,10471,10471,Next Friday,
79,9725,Friday the 13th Part 2,9728,9728,Friday the 13th Part III,
62,657,From Russia with Love,658,658,Goldfinger,660
48,658,Goldfinger,660,660,Thunderball,
82,10676,Halloween III: Season of the Witch,11357,11357,Halloween 4: The Return of Michael Myers,
78,11282,Harold & Kumar Go to White Castle,13335,13335,Harold & Kumar Escape from Guantanamo Bay,
2,675,Harry Potter and the Order of the Phoenix,767,767,Harry Potter and the Half-Blood Prince,
5,673,Harry Potter and the Prisoner of Azkaban,674,674,Harry Potter and the Goblet of Fire,
56,1487,Hellboy,11253,11253,Hellboy II: The Golden Army,
80,2662,House of 1000 Corpses,1696,1696,The Devil's Rejects,
25,425,Ice Age,950,950,Ice Age: The Meltdown,
20,89,Indiana Jones and the Last Crusade,217,217,Indiana Jones and the Kingdom of the Crystal Skull,
30,87,Indiana Jones and the Temple of Doom,89,89,Indiana Jones and the Last Crusade,217
57,49018,Insidious,91586,91586,Insidious: Chapter 2,
11,10138,Iron Man 2,68721,68721,Iron Man 3,
64,12094,Jackass Number Two,16290,16290,Jackass 3D,
66,9012,Jackass: The Movie,12094,12094,Jackass Number Two,16290
55,88751,Journey to the Center of the Earth,72545,72545,Journey 2: The Mysterious Island,
28,331,Jurassic Park III,135397,135397,Jurassic World,
74,9355,Mad Max Beyond Thunderdome,76341,76341,Mad Max: Fury Road,
12,10527,Madagascar: Escape 2 Africa,80321,80321,Madagascar 3: Europe's Most Wanted,
68,16781,Madea's Family Reunion,15670,15670,Madea Goes to Jail,
9,49521,Man of Steel,209112,209112,Batman v Superman: Dawn of Justice,
31,1597,Meet the Parents,693,693,Meet the Fockers,
15,585,"Monsters, Inc.",62211,62211,Monsters University,
40,41436,Paranormal Activity 2,72571,72571,Paranormal Activity 3,
39,9869,Patriot Games,9331,9331,Clear and Present Danger,
10,22,Pirates of the Caribbean: The Curse of the Black Pearl,58,58,Pirates of the Caribbean: Dead Man's Chest,
70,2787,Pitch Black,2789,2789,The Chronicles of Riddick,
50,114150,Pitch Perfect,254470,254470,Pitch Perfect 2,
14,10764,Quantum of Solace,37724,37724,Skyfall,
54,1576,Resident Evil,1577,1577,Resident Evil: Apocalypse,
41,7737,Resident Evil: Extinction,35791,35791,Resident Evil: Afterlife,
19,61791,Rise of the Planet of the Apes,119450,119450,Dawn of the Planet of the Apes,
53,176,Saw,215,215,Saw II,
43,4248,Scary Movie 2,4256,4256,Scary Movie 3,
69,8584,Shanghai Noon,6038,6038,Shanghai Knights,
18,808,Shrek,809,809,Shrek 2,
49,9488,Spy Kids 2: The Island of Lost Dreams,12279,12279,Spy Kids 3-D: Game Over,
61,157,Star Trek III: The Search for Spock,168,168,Star Trek IV: The Voyage Home,
88,8374,The Boondock Saints,22821,22821,The Boondock Saints II: All Saints Day,
37,2501,The Bourne Identity,2502,2502,The Bourne Supremacy,2503
34,2502,The Bourne Supremacy,2503,2503,The Bourne Ultimatum,
17,1891,The Empire Strikes Back,1892,1892,Return of the Jedi,
75,764,The Evil Dead,765,765,Evil Dead II,766
8,70160,The Hunger Games,101299,101299,The Hunger Games: Catching Fire,
83,990,The Hustler,11873,11873,The Color of Money,
4,120,The Lord of the Rings: The Fellowship of the Ring,121,121,The Lord of the Rings: The Two Towers,122
3,121,The Lord of the Rings: The Two Towers,122,122,The Lord of the Rings: The Return of the King,
21,603,The Matrix,604,604,The Matrix Reloaded,
45,11836,The SpongeBob SquarePants Movie,228165,228165,The SpongeBob Movie: Sponge Out of Water,
63,218,The Terminator,280,280,Terminator 2: Judgment Day,
72,4108,The Transporter,9335,9335,Transporter 2,
22,10195,Thor,76338,76338,Thor: The Dark World,
0,862,Toy Story,863,863,Toy Story 2,10193
1,863,Toy Story 2,10193,10193,Toy Story 3,
7,1858,Transformers,8373,8373,Transformers: Revenge of the Fallen,
24,8966,Twilight,18239,18239,The Twilight Saga: New Moon,
58,277,Underworld,834,834,Underworld: Evolution,
73,10673,Wall Street,33909,33909,Wall Street: Money Never Sleeps,
33,36657,X-Men,36658,36658,X2,36668
23,36658,X2,36668,36668,X-Men: The Last Stand,
